Category,LipidGroup,NumberLipidsInGroup,Associated,Percent
DKO,PC,45,30,0.6666666666666666
DKO,TAG,21,0,0.0
DKO,LPC,20,8,0.4
DKO,PE,20,12,0.6
DKO,PS,19,9,0.47368421052631576
DKO,SM,18,6,0.3333333333333333
DKO,DAG,8,0,0.0
DKO,LPE,5,4,0.8
DKO,Cer,3,0,0.0
DKO,PI,2,0,0.0
WT,PC,45,23,0.5111111111111111
WT,TAG,21,3,0.14285714285714285
WT,LPC,20,1,0.05
WT,PE,20,10,0.5
WT,PS,19,7,0.3684210526315789
WT,SM,18,10,0.5555555555555556
WT,DAG,8,5,0.625
WT,LPE,5,3,0.6
WT,Cer,3,0,0.0
WT,PI,2,2,1.0
PTEN,PC,45,40,0.8888888888888888
PTEN,TAG,21,0,0.0
PTEN,LPC,20,5,0.25
PTEN,PE,20,17,0.85
PTEN,PS,19,14,0.7368421052631579
PTEN,SM,18,10,0.5555555555555556
PTEN,DAG,8,1,0.125
PTEN,LPE,5,1,0.2
PTEN,Cer,3,0,0.0
PTEN,PI,2,0,0.0
